ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,icao_code,iata_code,gps_code,local_code,coordinates
9TX0,heliport,Houston Police Department Southeast Heliport,40,NA,US,US-TX,Sheffield,,,9TX0,9TX0,"29.657868, -95.319099"
9TX1,closed,Bar S Ranch Airport,465,NA,US,US-TX,Wilsall,,,,,"30.143181, -96.856159"
9TX3,small_airport,Horan Airport,3339,NA,US,US-TX,Springview,,,9TX3,9TX3,"34.175167, -101.638126"
9TX4,small_airport,Flying H Ranch Airport,1000,NA,US,US-TX,Trenton,,,9TX4,9TX4,"30.65959930419922, -97.91110229492188"
9TX5,small_airport,Camp Bullis ALS Airport,1158,NA,US,US-TX,Harrison,,,9TX5,9TX5,"29.744699, -98.537201"
9TX6,small_airport,Beggs Ranch Airport,2355,NA,US,US-TX,Warm Springs,,,9TX6,9TX6,"33.17509841918945, -101.02400207519531"
9TX7,small_airport,Hitex Private Airport,700,NA,US,US-TX,Bohannon,,,9TX7,9TX7,"33.839975, -96.670544"
9TX9,small_airport,Canon Ranch Airport,2380,NA,US,US-TX,Alexandria,,,9TX9,9TX9,"30.748199462890625, -101.96499633789062"
9U1,small_airport,Wilsall Airport,5134,NA,US,US-MT,Piscataway,,,9U1,9U1,"46.04970169067383, -110.68499755859375"
9V1,small_airport,Springview Municipal Airport,2446,NA,US,US-NE,Bluemont,,,9V1,9V1,"42.828802, -99.739846"
9V2,small_airport,Trenton Municipal Airport,2796,NA,US,US-NE,Richmond,,,9V2,9V2,"40.187955, -101.025767"
9V3,small_airport,Harrison Skyranch Airport,4863,NA,US,US-NE,Franklin,,,9V3,9V3,"42.69580078125, -103.875"
9VA0,small_airport,Bath Alum Airport,1779,NA,US,US-VA,Weirwood,,,9VA0,9VA0,"38.0526008605957, -79.72889709472656"
9VA1,small_airport,Holly Point Airport,12,NA,US,US-VA,Winchester,,,9VA1,9VA1,"37.405142, -76.388272"
9VA2,heliport,Inova Alexandria Hospital Heliport,254,NA,US,US-VA,Philippi,,,9VA2,9VA2,"38.822362, -77.104278"
9VA4,small_airport,Franwood Farms Inc. Airport,990,NA,US,US-VA,Brogue,,,9VA4,9VA4,"38.69089889526367, -78.62950134277344"
9VA5,heliport,Bluegrass Heliport,1720,NA,US,US-VA,Clio,,,9VA5,9VA5,"39.06329, -77.890025"
9VA8,heliport,Innsbrook Pavilion Heliport,250,NA,US,US-VA,Seattle,,,9VA8,9VA8,"37.648799896240234, -77.58499908447266"
9VA9,heliport,Southampton Memorial Hospital Heliport,44,NA,US,US-VA,Quincy,,,9VA9,9VA9,"36.69929885864258, -76.93830108642578"
9VG,small_airport,Campbell Field,40,NA,US,US-VA,Odessa,,,,9VG,"37.458845, -75.877209"
9VG9,small_airport,Jucapa Farms Airport,1160,NA,US,US-VA,Silverdale,,,9VG9,9VG9,"39.371381, -78.306277"
9W3,small_airport,Simpson Airport,1960,NA,US,US-WV,Omak,,,9W3,9W3,"39.09339904785156, -80.0259017944336"
9W8,small_airport,Baublitz Commercial Airport,750,NA,US,US-PA,Seattle,,,K9W8,9W8,"39.85272, -76.485114"
9W9,small_airport,Clio Crop Care Airport,192,NA,US,US-SC,Buckley,,,9W9,9W9,"34.5614013671875, -79.53810119628906"
9WA0,heliport,Boeing Plant 2 Heliport,17,NA,US,US-WA,Shelton,,,9WA0,9WA0,"47.536747, -122.313441"
9WA1,heliport,Quincy Valley Hospital Ems Heliport,1260,NA,US,US-WA,Silverdale,,,9WA1,9WA1,"47.230501, -119.867674"
9WA2,heliport,Odessa Memorial Hospital Heliport,1700,NA,US,US-WA,Hortonville,,,9WA2,9WA2,"47.331446, -118.682299"
9WA4,small_airport,Piper Canyon Airport,1610,NA,US,US-WA,Cooperstown,,,9WA4,9WA4,"45.810391, -120.952851"
9WA5,heliport,Mid-Valley Hospital EMS Heliport,800,NA,US,US-WA,Morrison,,,9WA5,9WA5,"48.397229, -119.547837"
9WA6,heliport,Puget Sound Plaza Heliport,670,NA,US,US-WA,New Berlin,,,9WA6,9WA6,"47.60847, -122.33573"
9WA7,small_airport,Albritton Airport,530,NA,US,US-WA,Palmyra,,,9WA7,9WA7,"47.217382, -122.133036"
9WA8,heliport,Mason General Hospital Heliport,278,NA,US,US-WA,Polar,,,9WA8,9WA8,"47.226578, -123.114027"
9WA9,heliport,Naval Submarine Base Bangor Heliport,285,NA,US,US-WA,Cumberland,,,9WA9,9WA9,"47.7036031255, -122.714806795"
