h3Index,lat,lon,parent_data_points,client_server_distance_km
841ec69ffffffff,42.655192,22.089757,107128.0,100.82189566881452
841ec6bffffffff,42.506607,22.638458,107128.0,59.83005815410203
841ec6dffffffff,42.388139,21.635666,107128.0,142.35538706275628
841ed91ffffffff,39.184792,25.80451,41355.0,224.47901535668203
841ed93ffffffff,39.015407,26.32486,41355.0,253.38870248524546
841ed9bffffffff,39.442304,26.253886,41355.0,272.5840527080565
841eda1ffffffff,38.292257,23.509732,41355.0,39.2184794236746
841eda3ffffffff,38.132129,24.030138,41355.0,31.142787670502422
841eda5ffffffff,38.021996,23.072792,41355.0,57.5709789934842
841eda7ffffffff,37.863541,23.592501,41355.0,17.92962316280194
841eda9ffffffff,38.71978,23.426201,41355.0,85.92481781636515
841edabffffffff,38.560413,23.949148,41355.0,66.91464735442223
841edadffffffff,38.449938,22.987502,41355.0,82.87376799770732
841edb5ffffffff,37.96959,24.548647,41355.0,71.93938271225251
841edb7ffffffff,37.804677,25.065182,41355.0,119.0122410914979
841edc1ffffffff,40.260977,23.617601,41355.0,253.3453694318533
841edc3ffffffff,40.102303,24.149014,41355.0,238.31008379051568
841edc9ffffffff,40.682759,23.532766,41355.0,224.75756114628226
841edcbffffffff,40.524932,24.066831,41355.0,249.43461309650533
841edcdffffffff,40.417048,23.084267,41355.0,254.38711696428325
841edd3ffffffff,40.035964,25.656674,41355.0,282.50188336502976
841edd7ffffffff,39.777287,25.205761,41355.0,236.8734767423509
841ede1ffffffff,39.30212,22.814563,41355.0,166.64227770292015
841ede3ffffffff,39.146064,23.3419,41355.0,133.48507424192326
841ede5ffffffff,39.031021,22.37491,41355.0,165.56490335367837
841ede7ffffffff,38.876661,22.901429,41355.0,122.60843770709026
841ede9ffffffff,39.726272,22.726893,41355.0,212.2210289726943
841edebffffffff,39.571066,23.256818,41355.0,181.11817901142348
841ededffffffff,39.455617,22.285477,41355.0,205.98716261879875
841f181ffffffff,52.03746,13.075442,652732.0,58.15166812828006
841f183ffffffff,51.953824,13.698949,652732.0,66.06125917546628
841f185ffffffff,51.762813,12.605984,652732.0,100.30802792454767
841f187ffffffff,51.681084,13.22651,652732.0,94.0764434812636
841f189ffffffff,52.391531,12.922863,652732.0,35.655818236639824
841f18bffffffff,52.309554,13.549515,652732.0,25.37026462807569
841f18dffffffff,52.117519,12.451829,652732.0,78.74064136571964
841f191ffffffff,52.134789,14.802013,652732.0,104.14953426872495
841f193ffffffff,52.041994,15.42756,652732.0,147.49361068598665
841f195ffffffff,51.866605,14.322205,652732.0,95.84854456142169
841f197ffffffff,51.7758,14.945061,652732.0,133.74807276204837
841f199ffffffff,52.491487,14.657504,652732.0,84.83060102873397
841f19bffffffff,52.400299,15.286315,652732.0,128.15317432425857
841f19dffffffff,52.223975,14.175948,652732.0,61.828143152663884
841f1a1ffffffff,51.128046,12.295297,652732.0,172.54314990557478
841f1a3ffffffff,51.046514,12.909777,652732.0,150.89109492374422
841f1a5ffffffff,50.847852,11.836514,652732.0,201.52704507525067
